	LA-306H:Oil Rate (H), sm3/day	LA-306H:Water Injection Rate (H), sm3/day	LA-306H:Liquid Rate (H), sm3/day	LA-306H:Oil Total (H), sm3	LA-306H:Liquid Total (H), sm3	LA-306H:Water Injection Total (H), sm3	LA-306H:Water Rate (H), sm3/day	LA-306H:Gas Rate (H), sm3/day	LA-306H:Bottom Hole Pressure (H), Bars
14/01/2020	0.000	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14/01/2020 0:30	0.000	650	0.000	0.000	0.000	13.650	0.000	0.000	0.000
14/01/2020 1:00	0.000	650	0.000	0.000	0.000	27.300	0.000	0.000	0.000
14/01/2020 1:30	0.000	650	0.000	0.000	0.000	40.950	0.000	0.000	0.000
14/01/2020 2:00	0.000	650	0.000	0.000	0.000	54.600	0.000	0.000	0.000
14/01/2020 2:31	0.000	650	0.000	0.000	0.000	68.250	0.000	0.000	0.000
14/01/2020 3:01	0.000	650	0.000	0.000	0.000	81.900	0.000	0.000	0.000
14/01/2020 3:31	0.000	650	0.000	0.000	0.000	95.550	0.000	0.000	0.000
14/01/2020 4:01	0.000	650	0.000	0.000	0.000	109.200	0.000	0.000	0.000
14/01/2020 4:32	0.000	650	0.000	0.000	0.000	122.850	0.000	0.000	0.000
14/01/2020 5:02	0.000	650	0.000	0.000	0.000	136.500	0.000	0.000	0.000
14/01/2020 5:32	0.000	650	0.000	0.000	0.000	150.150	0.000	0.000	0.000
14/01/2020 6:02	0.000	650	0.000	0.000	0.000	163.800	0.000	0.000	0.000
14/01/2020 6:33	0.000	650	0.000	0.000	0.000	177.450	0.000	0.000	0.000
14/01/2020 7:03	0.000	650	0.000	0.000	0.000	191.100	0.000	0.000	0.000
14/01/2020 7:33	0.000	650	0.000	0.000	0.000	204.750	0.000	0.000	0.000
14/01/2020 8:03	0.000	650	0.000	0.000	0.000	218.400	0.000	0.000	0.000
14/01/2020 8:34	0.000	650	0.000	0.000	0.000	232.050	0.000	0.000	0.000
14/01/2020 9:04	0.000	650	0.000	0.000	0.000	245.700	0.000	0.000	0.000
14/01/2020 9:34	0.000	650	0.000	0.000	0.000	259.350	0.000	0.000	0.000
14/01/2020 10:04	0.000	650	0.000	0.000	0.000	273.000	0.000	0.000	0.000
14/01/2020 10:35	0.000	650	0.000	0.000	0.000	286.650	0.000	0.000	0.000
14/01/2020 11:05	0.000	650	0.000	0.000	0.000	300.300	0.000	0.000	0.000
14/01/2020 11:35	0.000	650	0.000	0.000	0.000	313.950	0.000	0.000	0.000
14/01/2020 12:05	0.000	650	0.000	0.000	0.000	327.600	0.000	0.000	0.000
14/01/2020 12:36	0.000	650	0.000	0.000	0.000	341.250	0.000	0.000	0.000
14/01/2020 13:06	0.000	650	0.000	0.000	0.000	354.900	0.000	0.000	0.000
14/01/2020 13:36	0.000	650	0.000	0.000	0.000	368.550	0.000	0.000	0.000
14/01/2020 14:06	0.000	650	0.000	0.000	0.000	382.200	0.000	0.000	0.000
14/01/2020 14:36	0.000	650	0.000	0.000	0.000	395.850	0.000	0.000	0.000
14/01/2020 15:07	0.000	650	0.000	0.000	0.000	409.500	0.000	0.000	0.000
14/01/2020 15:37	0.000	650	0.000	0.000	0.000	423.150	0.000	0.000	0.000
14/01/2020 16:07	0.000	650	0.000	0.000	0.000	436.800	0.000	0.000	0.000
14/01/2020 16:37	0.000	650	0.000	0.000	0.000	450.450	0.000	0.000	0.000
14/01/2020 17:08	0.000	650	0.000	0.000	0.000	464.100	0.000	0.000	0.000
14/01/2020 17:38	0.000	650	0.000	0.000	0.000	477.750	0.000	0.000	0.000
14/01/2020 18:08	0.000	650	0.000	0.000	0.000	491.400	0.000	0.000	0.000
14/01/2020 18:38	0.000	650	0.000	0.000	0.000	505.050	0.000	0.000	0.000
14/01/2020 19:09	0.000	650	0.000	0.000	0.000	518.700	0.000	0.000	0.000
14/01/2020 19:39	0.000	650	0.000	0.000	0.000	532.350	0.000	0.000	0.000
14/01/2020 20:09	0.000	650	0.000	0.000	0.000	546.000	0.000	0.000	0.000
14/01/2020 20:39	0.000	650	0.000	0.000	0.000	559.650	0.000	0.000	0.000
14/01/2020 21:10	0.000	650	0.000	0.000	0.000	573.300	0.000	0.000	0.000
