	PROD:Oil Rate (H), sm3/day	INJECTOR:Water Injection Rate (H), sm3/day	PROD:Liquid Rate (H), sm3/day	PROD:Oil Total (H), sm3	PROD:Liquid Total (H), sm3	PROD:Water Rate (H), sm3/day	PROD:Gas Rate (H), sm3/day	PROD:Bottom Hole Pressure (H), Bars
06/04/2018	0	0	0	0	0	0	0	0
06/04/2018 0:18	0	75	0	0	0	0	0	0
06/04/2018 0:37	0	75	0	0	0	0	0	0
06/04/2018 0:56	0	75	0	0	0	0	0	0
06/04/2018 1:14	0	75	0	0	0	0	0	0
06/04/2018 1:33	0	75	0	0	0	0	0	0
06/04/2018 1:52	0	75	0	0	0	0	0	0
06/04/2018 2:11	0	75	0	0	0	0	0	0
06/04/2018 2:29	0	75	0	0	0	0	0	0
06/04/2018 2:48	0	75	0	0	0	0	0	0
06/04/2018 3:07	0	75	0	0	0	0	0	0
06/04/2018 3:25	0	75	0	0	0	0	0	0
06/04/2018 3:44	0	75	0	0	0	0	0	0
06/04/2018 4:03	0	75	0	0	0	0	0	0
06/04/2018 4:22	0	75	0	0	0	0	0	0
06/04/2018 4:40	0	75	0	0	0	0	0	0
06/04/2018 4:59	0	75	0	0	0	0	0	0
06/04/2018 5:18	0	75	0	0	0	0	0	0
06/04/2018 5:36	0	75	0	0	0	0	0	0
06/04/2018 5:55	0	75	0	0	0	0	0	0
06/04/2018 6:14	0	75	0	0	0	0	0	0
06/04/2018 6:33	0	75	0	0	0	0	0	0
06/04/2018 6:51	0	75	0	0	0	0	0	0
06/04/2018 7:10	0	75	0	0	0	0	0	0
06/04/2018 7:29	0	75	0	0	0	0	0	0
06/04/2018 7:48	0	75	0	0	0	0	0	0
06/04/2018 8:06	0	75	0	0	0	0	0	0
06/04/2018 8:25	0	75	0	0	0	0	0	0
06/04/2018 8:44	0	75	0	0	0	0	0	0
06/04/2018 9:02	0	75	0	0	0	0	0	0
06/04/2018 9:21	0	75	0	0	0	0	0	0
06/04/2018 9:40	0	75	0	0	0	0	0	0
06/04/2018 9:59	0	75	0	0	0	0	0	0
06/04/2018 10:17	0	75	0	0	0	0	0	0
06/04/2018 10:36	0	75	0	0	0	0	0	0
06/04/2018 10:55	0	75	0	0	0	0	0	0
06/04/2018 11:13	0	75	0	0	0	0	0	0
06/04/2018 11:32	0	75	0	0	0	0	0	0
06/04/2018 11:51	0	75	0	0	0	0	0	0
06/04/2018 12:10	0	75	0	0	0	0	0	0
06/04/2018 12:28	0	75	0	0	0	0	0	0
06/04/2018 12:47	0	75	0	0	0	0	0	0
06/04/2018 13:06	0	75	0	0	0	0	0	0
06/04/2018 13:24	0	75	0	0	0	0	0	0
06/04/2018 13:43	0	75	0	0	0	0	0	0
06/04/2018 14:02	0	75	0	0	0	0	0	0
06/04/2018 14:21	0	75	0	0	0	0	0	0
06/04/2018 14:39	0	75	0	0	0	0	0	0
06/04/2018 14:58	0	75	0	0	0	0	0	0
06/04/2018 15:17	0	75	0	0	0	0	0	0
06/04/2018 15:36	0	75	0	0	0	0	0	0
06/04/2018 15:54	0	75	0	0	0	0	0	0
06/04/2018 16:13	0	75	0	0	0	0	0	0
