WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,covered,disused,ele,highway,historic,layer,leisure,name,office,operator,power,ref,shop,sport,tourism
"POINT (-6.02675939916107 36.1908115956333)","470365938",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.92151569917572 36.1871717956336)","4502328363",,,,cafe,,,,,,,,,,Heladerias Pepe el Malagueño,,,,,,,
"POINT (-5.92041919917587 36.1874019956336)","4430517690",,,,cafe,,,,,,,,,,La rosa amarilla,,,,,,,
"POINT (-5.91978399917596 36.1868933956336)","4502326442",,,,cafe,,,,,,,,,,Heladerías Pepe el Malagueño,,,,,,,
"POINT (-5.92000409917593 36.1869131956336)","4431192991",,,,cafe,,,,,,,,,,Café y Copas Atarraya,,,,,,,
"POINT (-5.91903219917606 36.1870876956336)","4431170091",,,,cafe,,,,,,,,,,Bowling Cafetería,,,,,,,
"POINT (-5.91834139917616 36.1865795956337)","4502330450",,,,cafe,,,,,,,,,,Heladerias Pepe el Malagueño,,,,,,,
"POINT (-5.92170789917569 36.1908082956333)","4430408597",,,,cafe,,,,,,,,,,Café Plaza,,,,,,,
"POINT (-5.92180199917568 36.1910589956333)","4430408393",,,,cafe,,,,,,,,,,Mediterráneo,,,,,,,
"POINT (-5.9216422991757 36.1911762956333)","4430407997",,,,cafe,,,,,,,,,,Juan José,,,,,,,
"POINT (-5.84636059918618 36.1365591956378)","1830242813",,,,cafe,,,,,,,,,,Jadraza,,,,,,,
"POINT (-5.84775719918599 36.1367823956378)","4258936090",,,,cafe,,,,,,,,,,Alta mar,,,,,,,
"POINT (-5.84749769918602 36.1368348956378)","4258895392",,,,cafe,,,,,,,,,,El sur,,,,,,,
"POINT (-5.84245819918672 36.1331584956381)","2035768469",,,,cafe,,,,,,,,,,Cafetería la Roca,,,,,,,
"POINT (-5.84235599918674 36.1334861956381)","4258959905",,,,cafe,,,,,,,,,,Anyway,,,,,,,
"POINT (-5.84424569918647 36.134812095638)","2884786510",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.64728209921389 36.0522010956449)","2442977290",,,,cafe,,,,,,,,,,Bar - Restaurante Los Pinos,,,,,,,
